代码,日期,收盘,行业名称,日涨跌幅,市场环境,沪深300涨跌幅,超额收益,行业分组
801040,2024-09-26,1914.52,钢铁,0.0521190538995866,上涨期,0.04227123476385519,0.009847819135731406,周期类
801040,2024-09-27,1966.78,钢铁,0.027296659214842256,上涨期,0.04466874640370966,-0.017372087188867402,周期类
801040,2024-09-30,2145.9,钢铁,0.09107271784337856,上涨期,0.08482632837295823,0.006246389470420333,周期类
801040,2024-10-08,2217.59,钢铁,0.03340789412367773,上涨期,0.05929556940208136,-0.025887675278403632,周期类
801040,2024-10-09,2038.66,钢铁,-0.08068669140824047,上涨期,-0.07051344706510376,-0.010173244343136711,周期类
801040,2024-10-10,2072.09,钢铁,0.016398026154434753,上涨期,0.010567282375257392,0.005830743779177361,周期类
801040,2024-10-11,2040.12,钢铁,-0.015428866506763783,上涨期,-0.027670551815153765,0.012241685308389982,周期类
801040,2024-10-14,2078.13,钢铁,0.018631256984883438,上涨期,0.019082020402004796,-0.00045076341712135815,周期类
801040,2024-10-15,2026.88,钢铁,-0.024661594799170405,上涨期,-0.026593765446154438,0.0019321706469840327,周期类
801040,2024-10-16,2052.51,钢铁,0.012645050520997847,上涨期,-0.006329365053637237,0.018974415574635084,周期类
801040,2024-10-17,2031.48,钢铁,-0.010245991493342377,上涨期,-0.01131828074462049,0.0010722892512781135,周期类
801040,2024-10-18,2070.92,钢铁,0.019414417075235724,上涨期,0.03616789089974137,-0.01675347382450565,周期类
801040,2024-10-21,2036.89,钢铁,-0.01643231027755776,上涨期,0.0025381926274969935,-0.018970502905054754,周期类
801040,2024-10-22,2053.23,钢铁,0.008022033590424638,上涨期,0.00573770512632521,0.0022843284640994277,周期类
801040,2024-10-23,2072.72,钢铁,0.009492360816859113,上涨期,0.0038994121951319016,0.005592948621727212,周期类
801040,2024-10-24,2047.63,钢铁,-0.012104867034620992,上涨期,-0.01116880586951241,-0.0009360611651085815,周期类
